listing_name,categories,seniority,required_skills
Programista ds. Automatyzacji Testw,Testing,Mid,"['Java', 'Python', 'JavaScript', 'Selenium', 'Cypress.io', 'Appium', 'REST Assured', 'ISTQB', 'Postman']"
Data Engineer,Data,Mid,"['Python', 'ETL', 'Spark', 'RDBMS', 'PySpark', 'SQL', 'Azure Services', 'Scala', 'Terraform', 'IaC']"
Golang/Python Software Engineer,Python,Mid,"['Python', 'Kubernetes', 'Golang', 'Docker', 'Jenkins', 'Terraform', 'Linux']"
Big Data Engineer Want-To-Be,Data,Junior,"['Python', 'Java', 'Big Data', 'Scala', 'Cloud', 'Airflow', 'Kubernetes', 'Kafka', 'Docker', 'Apache Spark']"
NLP Developer,Python,Senior,"['NLP', 'Polish', 'English', 'PyTorch', 'AI/ML', 'Python', 'AWS', 'fastapi']"
Lead Full Stack Engineer,Python,Senior,"['Python', 'Django', 'Vue.js', 'Nuxt', 'JavaScript', 'TypeScript', 'WebGL', 'Three.js']"
Senior QA Automation Engineer,Testing,Senior,"['Automated Testing', 'Robot Framework', 'English', 'Python', 'Jenkins', 'Desktop Testing']"
Middle QA Automation Engineer,Testing,Mid,"['Testing', 'Python', 'Desktop Testing', 'Git', 'Robot Framework']"
Python Developer,Python,Mid,"['Polish', 'Python', 'Linux', 'English', 'MySQL', 'Django', 'Flask', 'Jenkins', 'Docker', 'AWS']"
KOORDYNATOR DS. UTRZYMANIA SYSTEMW IT,Support,Mid,"['Linux', 'SAN', 'Shell', 'Python', 'Andible', 'Git', 'Zabbix', 'VMware']"
Support Engineer,Python,Mid,"['Python', 'PySpark', 'SQL', 'Java', 'JavaScript']"
Test Automation Engineer (Python),Testing,Junior,"['Python', 'SQL', 'Git', 'XML/JSON', 'CICD tools', 'Pandas', 'API Testing', 'Test Rail', 'Docker', 'Robot Framework']"
DevOps Engineer,Devops,Mid,"['Linux', 'Docker', 'AWS', 'CI/CD', 'Bash', 'Terraform', 'Ansible', 'Python', 'Shell']"
Test Automation Lead,Testing,Mid,"['Python or Java-based frameworks', 'CI/CD', 'Bamboo or Jenkins', 'Cucumber/Gherkin', 'Java/C#/Python', 'Design Patterns']"
Cloud Python Developer,Python,Mid,"['Google Cloud', 'Airflow', 'Payspark', 'Git']"
Middle/Senior AQA Embedded Engineer,Python,Senior,"['Python', 'Linux', 'Robot Framework', 'pytest', 'AWS', 'IoT']"
Data Engineer,Data,Mid,"['Azure Services', 'T-SQL', 'Agile', 'SQL', 'Python']"
Data Scientist,Data,Mid,"['Python', 'SQL', 'Git']"
Senior Azure Data Engineer,Data,Senior,"['PySpark', 'Python', 'Databricks']"
Data Analyst,Data,Mid,"['Business Intelligence', 'Power BI', 'Data', 'MS Excel', 'SAP', 'Power Apps', 'SQL', 'DAX', 'VBA', 'Python']"
